Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2019,07,25,16.8,1,Y
IDCJAC0010,023000,2019,07,26,16.1,1,Y
IDCJAC0010,023000,2019,07,27,15.5,1,Y
IDCJAC0010,023000,2019,07,28,19.3,1,Y
IDCJAC0010,023000,2019,07,29,16.6,1,Y
IDCJAC0010,023000,2019,07,30,14.8,1,Y
IDCJAC0010,023000,2019,07,31,12.6,1,Y
IDCJAC0010,023000,2019,08,01,14.5,1,Y
IDCJAC0010,023000,2019,08,02,13.9,1,Y
IDCJAC0010,023000,2019,08,03,13.9,1,Y
IDCJAC0010,023000,2019,08,04,16.1,1,Y
IDCJAC0010,023000,2019,08,05,19.7,1,Y
IDCJAC0010,023000,2019,08,06,19.3,1,Y
IDCJAC0010,023000,2019,08,07,14.1,1,Y
IDCJAC0010,023000,2019,08,08,12.7,1,Y
IDCJAC0010,023000,2019,08,09,12.6,1,Y
IDCJAC0010,023000,2019,08,10,12.7,1,Y
IDCJAC0010,023000,2019,08,11,13.1,1,Y
IDCJAC0010,023000,2019,08,12,12.1,1,Y
IDCJAC0010,023000,2019,08,13,14.2,1,Y
IDCJAC0010,023000,2019,08,14,17.2,1,Y
IDCJAC0010,023000,2019,08,15,20.2,1,Y
IDCJAC0010,023000,2019,08,16,15.4,1,Y
IDCJAC0010,023000,2019,08,17,18.6,1,Y
IDCJAC0010,023000,2019,08,18,12.3,1,Y
IDCJAC0010,023000,2019,08,19,13.5,1,Y
IDCJAC0010,023000,2019,08,20,14.6,1,Y
IDCJAC0010,023000,2019,08,21,15.9,1,Y
IDCJAC0010,023000,2019,08,22,14.2,1,Y
IDCJAC0010,023000,2019,08,23,18.7,1,Y
IDCJAC0010,023000,2019,08,24,16.1,1,Y
IDCJAC0010,023000,2019,08,25,13.7,1,Y
IDCJAC0010,023000,2019,08,26,14.0,1,Y
IDCJAC0010,023000,2019,08,27,15.5,1,Y
IDCJAC0010,023000,2019,08,28,14.6,1,Y
IDCJAC0010,023000,2019,08,29,15.3,1,Y
IDCJAC0010,023000,2019,08,30,18.1,1,Y
IDCJAC0010,023000,2019,08,31,22.1,1,Y
IDCJAC0010,023000,2019,09,01,17.6,1,Y
IDCJAC0010,023000,2019,09,02,23.9,1,Y
IDCJAC0010,023000,2019,09,03,18.5,1,Y
IDCJAC0010,023000,2019,09,04,18.2,1,Y
IDCJAC0010,023000,2019,09,05,17.7,1,Y
